epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,645.126,1.37036,2.17174,1.21036,1.26885,0,0.82193,0.54268,0.5557,0.32502,0.82655,0.54707,0.55902,0.32144,1.18858,2.02861,1.87545,1.13159,0,0.000414683,0.000414683,0.000414683
2,1303.14,1.38264,2.29815,1.43371,1.30862,0,0.52455,0.46235,0.50576,0.28611,0.52268,0.48753,0.51126,0.28351,1.21365,2.09422,2.04353,1.1665,0,0.000803915,0.000803915,0.000803915
3,1915.3,1.40435,2.35925,1.42491,1.33157,0,0.60007,0.46333,0.51032,0.31024,0.59253,0.47586,0.51699,0.30244,1.17916,2.05276,1.49431,1.13856,0,0.00116565,0.00116565,0.00116565
4,2490.07,1.52013,2.41727,1.4872,1.38108,0,0.51489,0.44396,0.48517,0.27195,0.52933,0.44566,0.48679,0.26996,1.23323,2.17634,1.7089,1.18225,0,0.00112625,0.00112625,0.00112625
5,3073.87,1.47966,2.42724,1.47039,1.38656,0,0.59186,0.47109,0.54167,0.30746,0.59584,0.47548,0.53772,0.30319,1.19017,2.01034,1.40895,1.15977,0,0.001085,0.001085,0.001085
6,3667.31,1.38847,2.20294,1.41967,1.31637,0,0.519,0.49948,0.51759,0.29428,0.53126,0.51056,0.52669,0.29965,1.18209,2.05237,1.61131,1.13815,0,0.00104375,0.00104375,0.00104375
7,4261.52,1.42497,2.37757,1.4602,1.34521,0,0.5308,0.46608,0.51229,0.29099,0.52745,0.48926,0.52547,0.29259,1.23754,2.04284,1.66068,1.17392,0,0.0010025,0.0010025,0.0010025
8,4856.76,1.41831,2.34905,1.36826,1.33716,0,0.58106,0.50385,0.52538,0.3067,0.59447,0.51639,0.53887,0.30324,1.19035,2.04539,1.69013,1.15297,0,0.00096125,0.00096125,0.00096125
9,5469.56,1.41974,2.40957,1.41875,1.33487,0,0.54661,0.50589,0.52609,0.30785,0.54762,0.51097,0.52312,0.29508,1.17319,2.00114,1.94229,1.15173,0,0.00092,0.00092,0.00092
10,6062.66,1.39161,2.25753,1.33708,1.31339,0,0.54241,0.48928,0.51394,0.30126,0.54678,0.48341,0.51475,0.29486,1.17409,2.02866,1.46257,1.13376,0,0.00087875,0.00087875,0.00087875
11,6684.31,1.39535,2.38149,1.35013,1.33044,0,0.51997,0.49176,0.52526,0.3039,0.48518,0.53456,0.51855,0.30514,1.23733,1.9871,1.52483,1.1908,0,0.0008375,0.0008375,0.0008375
12,7297.71,1.40041,2.33086,1.39644,1.32258,0,0.53093,0.51687,0.54241,0.31558,0.53533,0.52079,0.53903,0.31022,1.215,1.99618,1.28279,1.17952,0,0.00079625,0.00079625,0.00079625
13,7894.57,1.37094,2.21877,1.34108,1.3009,0,0.55141,0.4927,0.53809,0.31893,0.58986,0.50122,0.54503,0.32178,1.19907,2.0224,1.36772,1.15543,0,0.000755,0.000755,0.000755
